choice,RT,trial,reward
1,0.20724155747903572,625,1
1,0.20391127993727173,626,1
1,0.17236111581371144,627,1
1,0.23065469436100994,629,1
1,0.20968392390583937,630,1
1,0.4689919681783852,631,1
1,0.6709104911627104,632,0
1,0.3589976070841973,633,1
1,0.1700266448104553,634,1
1,0.40088635345481244,635,1
1,0.17490453027082364,636,0
1,1.3884231256680404,637,1
1,0.19509812064750706,638,1
1,0.38101290276722033,639,0
1,0.4161321162267265,640,1
1,0.1911120182610286,643,1
1,0.23880814721302115,644,0
1,0.5208071494555684,645,1
1,0.4420775485952196,646,0
1,0.3591245824080433,647,1
1,0.35714631159768395,648,1
1,0.44747883749293,649,0
1,0.8763784162527989,652,1
1,0.3901953487302607,653,1
1,0.28561973739420304,655,1
1,0.37762124124447205,656,1
1,0.1352204470665355,657,1
1,0.20762434737752455,658,1
1,0.4479247520485262,659,1
1,0.1622145854658338,660,1
1,0.2091027020648304,662,1
1,0.20710996636539242,663,1
1,0.42723376561949267,667,1
1,0.3356293208356123,668,1
1,0.24168226467402235,669,1
1,0.1704633508536131,672,1
1,0.2710724230329402,673,1
1,0.4310058287777108,674,1
1,0.2383756684199453,675,1
1,0.19320943426872303,676,1
1,0.48050266241611966,677,1
1,0.15337160077696232,678,1
1,0.3898565922940038,679,0
1,0.38533763532292675,682,0
1,0.3301876232432602,684,0
1,0.278358031151982,685,1
1,0.26889666438401155,689,1
1,0.540533483192959,690,0
1,0.2335688177253792,691,1
1,0.23700792947604904,692,1
1,0.6146300437167089,693,0
1,0.5199407448823617,694,1
1,0.2268024980052755,695,0
1,0.14028679448072975,696,1
1,0.4872077085541347,697,1
1,0.38374310313082616,698,1
1,0.23878162150403473,699,1
1,0.3375667410087674,700,1
1,0.23862440609164542,701,1
1,0.2118273615056826,702,1
1,0.18526331869010848,704,0
1,0.17606352208637355,705,1
1,0.22031066448175962,706,1
1,0.16715757179870647,708,1
1,0.2539782154690851,709,1
1,0.17738128697214386,710,1
1,0.17146972473842192,711,1
1,0.3322109284389438,712,1
1,0.1264406090138483,713,0
1,0.5404402960544015,714,1
1,0.1386237915011238,715,1
1,0.21115363267100268,717,1
1,0.19476341959092291,718,1
1,0.29357590453210436,719,0
1,0.17520048137124564,720,1
1,0.24993489295915097,721,0
1,0.17338297380216094,722,0
1,0.5777980342694308,723,1
1,0.22595355328464548,724,1
1,0.3518988214822988,725,1
1,0.4628558855114444,726,1
1,0.3093471161719605,727,1
1,0.3416329867803787,729,0
1,0.812476806813427,730,1
1,0.4274741069026942,733,1
1,0.8573846176317114,735,1
1,0.26792084450355613,736,1
1,0.3651916946270401,737,1
1,0.2598056996397567,738,1
1,0.4446637870732407,739,1
1,0.15692188815198777,742,1
1,0.5014182064655729,743,1
1,0.1969151724122955,744,1
1,0.1903014353799563,745,1
1,0.24917349348718187,746,1
1,0.3490387683916167,747,0
1,0.15487046596286363,748,1
1,0.1410531617377894,749,1
1,0.43650905142632884,751,1
1,0.5246828164270969,752,1
1,0.14627336294936033,753,1
1,0.3250301903770985,754,1
1,0.2619604601170101,755,1
1,0.157214308949728,757,1
1,0.49224590201117324,758,0
1,0.20301057995849864,759,0
1,0.46391878095088734,760,1
1,0.13196776461738663,761,1
1,0.2461804550671137,762,0
1,0.2876743262395017,764,1
1,0.2904753442701869,765,1
1,0.5153427022876372,766,0
1,0.1612434087003329,767,1
1,0.2999884305046777,768,1
1,0.4367157205094668,769,0
1,0.23986252548147266,770,1
1,0.5892867145361813,771,1
1,0.2474401409635276,772,1
1,0.19025766310015202,774,1
1,0.29944391836376544,775,1
1,0.3575600519727469,776,1
1,0.15655274026352978,777,1
1,0.3289891258770661,778,1
1,0.3998277495078823,779,1
1,0.3022204548112431,780,1
1,0.1393230445673549,781,1
1,0.17374864685165808,782,1
1,0.20224064519732762,783,1
1,0.17287220733153263,784,0
1,0.30830671518030933,785,1
1,0.7449406518125726,787,1
1,0.4427061458806997,788,1
1,0.16427466840905247,789,1
1,0.1393789955257587,790,1
1,0.35103737854463335,791,1
1,0.21941820296446435,792,1
1,0.17226693680930213,793,1
1,0.1914815895622689,794,1
1,0.24942423265356892,795,0
1,0.23187732952844184,796,0
1,0.41852112839781486,797,1
1,0.14199596452563815,798,1
1,0.16443771590488904,799,1
1,0.16942209377251008,800,1
1,0.2873479686710784,801,0
1,0.5580500103655514,802,1
1,0.2758140656813864,803,1
1,0.2828349877078338,805,1
1,0.26471584452750335,806,1
1,0.19453941352948845,807,0
1,0.34737625975753855,808,1
1,0.32615641216780056,809,1
1,0.23306093542593687,810,1
1,0.4115929988325617,811,1
1,0.2910762241442513,813,1
1,0.3984131600631071,814,1
1,0.6616288951263969,815,1
1,0.24180020898089627,816,0
1,0.16145978547994116,817,1
1,0.2929186574983131,818,1
1,0.15489600396679568,819,1
1,0.1866233213846556,820,1
1,0.26330642668258186,822,1
1,0.32697691363311876,823,1
1,0.3671246850559329,824,1
1,0.36493769601787185,825,1
1,0.3280940663464622,826,1
1,0.21774835134360299,828,1
1,0.351811433960114,829,1
1,0.1885372356186106,830,1
1,0.2636554062200549,831,0
1,0.4402892450027864,832,0
1,0.16668453912118109,835,1
1,0.5058211205056894,838,1
1,0.2713262318049742,839,1
1,0.34395712253163097,840,1
1,0.24863292574201484,841,1
1,0.21927659040320818,842,1
1,0.19273959425440623,843,0
1,0.18017860857571744,844,1
1,0.2197866163658134,846,0
1,0.27104340570852425,847,1
1,0.3367504373321227,848,1
1,0.37815214315422974,849,1
1,0.3273565467858984,850,1
1,0.6742009970415226,851,1
1,0.33550924518555175,853,1
1,0.3499918200255901,854,1
1,0.27456781206262815,855,1
1,0.15647903759397888,856,1
1,0.15338064961115733,858,1
1,0.4307893882609218,860,1
1,0.6140812726973723,862,1
1,0.2583811211109757,863,0
1,0.24481014302167303,865,1
1,0.1463423685929255,866,0
1,0.50335063400175,867,1
1,0.27666348166964455,868,1
1,0.5279444486652727,869,1
1,0.184047074206425,870,1
1,0.17477056824546872,871,0
1,0.19757230289740907,872,1
1,0.2093394783646987,873,0
1,0.24166607893537942,875,0
1,0.6621646489159025,876,1
1,0.2510667752980445,877,1
1,0.1419131197665662,879,1
1,0.36632145543225414,880,0
1,0.42795223109634123,881,1
1,0.3318258448973134,883,1
1,0.3103022208223761,885,1
1,0.24276884999565052,886,1
1,0.47204169302356624,888,0
1,0.7570684481696591,889,1
1,0.6641420569971548,890,1
1,0.26261737254969303,891,1
1,0.20717629969863793,892,1
1,0.6004510832813762,893,1
1,0.29728128784233093,894,1
1,0.36851854802307527,895,1
1,0.18310865810134366,896,1
1,0.21951053458088918,897,0
1,0.7314769789158273,898,0
1,0.49045163276618586,900,1
1,0.1797869975598162,901,0
1,0.30350023239723023,902,1
1,0.3637627120227854,903,1
1,0.4035109800809121,904,1
1,0.14828614355820124,905,1
1,0.3479973429483278,907,1
1,0.38250758967305315,909,1
1,0.15127735725601274,910,1
1,0.3420201065758183,912,1
1,0.14962566518774117,914,1
1,0.4691044846124415,915,1
1,0.25750375310785084,916,1
1,0.15931834701278477,917,1
1,0.3644643862894523,918,1
1,0.25565218420452857,919,0
1,0.1784299914649795,920,1
1,0.27742200895181435,921,1
1,0.21690844707455026,922,1
1,0.17642327484693618,923,0
1,0.25063644965106513,924,1
1,0.30957594589899684,925,0
1,0.933981293174328,926,1
1,0.5512787320294674,927,1
1,0.17306035764809272,928,0
1,0.3581558896869928,931,0
1,0.2289178326868047,932,1
1,0.4409745609635814,933,1
1,0.1990410345625162,934,1
1,0.29210997079131445,935,0
1,0.23367034341585372,936,1
1,0.31015321178503574,940,0
1,0.1863414620537674,941,0
1,0.18511807090058316,942,1
1,0.32583259421541505,943,1
1,0.263186651682068,944,0
1,0.42044300200067475,945,1
1,0.6086753751943674,948,1
1,0.304773944781279,950,1
1,0.3018084614590782,951,1
1,0.3266401183482147,953,1
1,0.1402547095175898,955,1
1,0.28824622837086566,957,1
1,0.34393520550933543,958,1
1,0.37606491534130704,960,0
1,0.3817473187594564,961,1
1,1.1346335908880145,962,1
1,0.20305736448180547,963,1
1,0.17873873851701677,964,0
1,0.17665328670915556,965,1
1,0.14261045996789962,966,1
1,0.3351311911620303,967,0
1,0.21668317434296636,968,1
1,0.45494265525618344,969,1
1,0.26549928574651904,971,1
1,0.27487982671215827,972,1
1,0.3421254141286915,973,1
1,0.3472019766512189,974,1
1,0.283363151778266,975,1
1,0.22310830388833722,977,0
1,0.14454959743000026,978,0
1,0.4550767683487767,979,1
1,0.2936221067298461,981,1
1,0.21161503568932533,982,0
1,1.5756532702876558,983,1
1,0.20605174710989768,984,1
1,0.18078276081968947,985,0
1,0.4652479670137747,987,0
1,0.7085804723270851,989,0
1,0.20547184419757866,991,1
1,0.24094597137769547,992,1
1,0.24898820229274712,993,0
1,0.16935142228399885,997,0
1,0.4968685045498375,998,1
0,0.13049798590345585,0,1
0,0.21294397908607943,1,0
0,0.28431282191074425,2,0
0,0.4312200013098222,3,0
0,0.5427540045955226,6,0
0,0.18215450792371612,7,1
0,0.4702360692152596,9,0
0,0.5921569962572426,10,0
0,0.2931047378851157,14,0
0,0.4793088569333821,23,0
0,0.40615045652159854,25,0
